Note Name,Octave,Frequency (Hz),Wavelength (M)*,Color
C,0,16.351,20.812,red
C# / Db,0,17.324,19.643,orange
D,0,18.354,18.54,yellow
D# / Eb,0,19.445,17.5,lawngreen
E,0,20.601,16.518,darkgreen
F,0,21.827,15.59,lightblue
F# / Gb,0,23.124,14.716,darkblue
G,0,24.499,13.89,mediumpurple
G# / Ab,0,25.956,13.11,purple
A,0,27.5,12.374,pink
A# / Bb,0,29.135,11.68,saddlebrown
B,0,30.868,11.024,gray
C,1,32.703,10.405,red
C# / Db,1,34.648,9.821,orange
D,1,36.708,9.27,yellow
D# / Eb,1,38.891,8.75,lawngreen
E,1,41.203,8.259,darkgreen
F,1,43.654,7.795,lightblue
F# / Gb,1,46.249,7.358,darkblue
G,1,48.999,6.945,mediumpurple
G# / Ab,1,51.913,6.555,purple
A,1,55,6.187,pink
A# / Bb,1,58.27,5.84,saddlebrown
B,1,61.735,5.512,gray
C,2,65.406,5.203,red
C# / Db,2,69.296,4.911,orange
D,2,73.416,4.635,yellow
D# / Eb,2,77.782,4.375,lawngreen
E,2,82.407,4.129,darkgreen
F,2,87.307,3.898,lightblue
F# / Gb,2,92.499,3.679,darkblue
G,2,97.999,3.472,mediumpurple
G# / Ab,2,103.826,3.278,purple
A,2,110,3.094,pink
A# / Bb,2,116.541,2.92,saddlebrown
B,2,123.471,2.756,gray
C,3,130.813,2.601,red
C# / Db,3,138.591,2.455,orange
D,3,146.832,2.318,yellow
D# / Eb,3,155.563,2.187,lawngreen
E,3,164.814,2.065,darkgreen
F,3,174.614,1.949,lightblue
F# / Gb,3,184.997,1.839,darkblue
G,3,195.998,1.736,mediumpurple
G# / Ab,3,207.652,1.639,purple
A,3,220,1.547,pink
A# / Bb,3,233.082,1.46,saddlebrown
B,3,246.942,1.378,gray
C,4,261.626,1.301,red
C# / Db,4,277.183,1.228,orange
D,4,293.665,1.159,yellow
D# / Eb,4,311.127,1.094,lawngreen
E,4,329.628,1.032,darkgreen
F,4,349.228,0.974,lightblue
F# / Gb,4,369.994,0.92,darkblue
G,4,391.995,0.868,mediumpurple
G# / Ab,4,415.305,0.819,purple
A,4,440,0.773,pink
A# / Bb,4,466.164,0.73,saddlebrown
B,4,493.883,0.689,gray
C,5,523.251,0.65,red
C# / Db,5,554.365,0.614,orange
D,5,587.33,0.579,yellow
D# / Eb,5,622.254,0.547,lawngreen
E,5,659.255,0.516,darkgreen
F,5,698.456,0.487,lightblue
F# / Gb,5,739.989,0.46,darkblue
G,5,783.991,0.434,mediumpurple
G# / Ab,5,830.609,0.41,purple
A,5,880,0.387,pink
A# / Bb,5,932.328,0.36,saddlebrown
B,5,987.767,0.345,gray
C,6,1046.502,0.325,red
C# / Db,6,1108.731,0.307,orange
D,6,1174.659,0.29,yellow
D# / Eb,6,1244.508,0.273,lawngreen
E,6,1318.51,0.258,darkgreen
F,6,1396.913,0.244,lightblue
F# / Gb,6,1479.978,0.23,darkblue
G,6,1567.982,0.217,mediumpurple
G# / Ab,6,1661.219,0.205,purple
A,6,1760,0.193,pink
A# / Bb,6,1864.655,0.18,saddlebrown
B,6,1975.533,0.172,gray
C,7,2093.005,0.163,red
C# / Db,7,2217.461,0.153,orange
D,7,2349.318,0.145,yellow
D# / Eb,7,2489.016,0.137,lawngreen
E,7,2637.021,0.129,darkgreen
F,7,2793.826,0.122,lightblue
F# / Gb,7,2959.955,0.115,darkblue
G,7,3135.964,0.109,mediumpurple
G# / Ab,7,3322.438,0.102,purple
A,7,3520,0.097,pink
A# / Bb,7,3729.31,0.091,saddlebrown
B,7,3951.066,0.086,gray
C,8,4186.009,0.081,red
C# / Db,8,4434.922,0.077,orange
D,8,4698.636,0.072,yellow
D# / Eb,8,4978.032,0.068,lawngreen
E,8,5274.042,0.065,darkgreen
F,8,5587.652,0.061,lightblue
F# / Gb,8,5919.91,0.057,darkblue
G,8,6271.928,0.054,mediumpurple
G# / Ab,8,6644.876,0.051,purple
A,8,7040,0.048,pink
A# / Bb,8,7458.62,0.046,saddlebrown
B,8,7902.132,0.043,gray
C,9,8372.018,0.041,red
C# / Db,9,8869.844,0.038,orange
D,9,9397.272,0.036,yellow
D# / Eb,9,9956.064,0.034,lawn
E,9,10548.084,0.032,darkgreen
F,9,11175.304,0.03,lightblue
F# / Gb,9,11839.82,0.029,darkblue
G,9,12543.856,0.027,mediumpurple
G# / Ab,9,13289.752,0.026,purple
A,9,14080,0.024,pink
A# / Bb,9,14917.24,0.023,saddlebrown
B,9,15804.264,0.022,gray